Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,22.250000,22.312500,21.938700,22.148800,21.689718,6342400
2019-03-18,22.125000,22.682501,22.018700,22.552500,22.085052,10811200
2019-03-19,22.468800,22.848700,22.413700,22.587500,22.119324,5413600
2019-03-20,22.588800,22.787500,22.395000,22.703800,22.233215,5804000
2019-03-21,22.568800,22.781200,22.375000,22.781200,22.309010,7874400
2019-03-22,22.487499,22.736200,21.590000,21.662500,21.213497,11079200
2019-03-25,21.718800,22.049999,21.321301,21.638800,21.190289,8272800
2019-03-26,21.862499,22.073700,21.722500,22.073700,21.616175,6122400
2019-03-27,21.875000,21.875000,20.795000,21.000000,20.564730,12878400
2019-03-28,21.126200,21.555000,20.646200,21.348700,20.906202,11202400
2019-03-29,21.525000,21.743700,21.375000,21.606300,21.158464,5740000
2019-04-01,21.746300,21.842501,21.411200,21.411200,20.967405,4056800
2019-04-02,21.558800,21.558800,20.687500,20.768700,20.338223,8901600
2019-04-03,20.993700,21.594999,20.851200,21.133801,20.695757,10140800
2019-04-04,21.250000,21.418800,20.941200,21.125000,20.687138,5695200
2019-04-05,21.139999,21.340000,20.945000,21.248800,20.808374,5898400
2019-04-08,21.212500,21.275000,20.638800,20.842501,20.410496,19280000
2019-04-09,20.768700,21.045000,20.437500,20.788700,20.357811,8477600
2019-04-10,20.875000,21.087500,20.690001,21.087500,20.650415,5091200
2019-04-11,21.049999,21.049999,20.500000,20.750000,20.319910,5207200
2019-04-12,20.510000,21.082500,20.287500,20.603800,20.176741,6667200
2019-04-15,20.750000,20.860001,20.299999,20.437500,20.013889,10495200
2019-04-16,20.400000,20.716200,20.200001,20.337500,20.283430,5982400
2019-04-17,20.445000,20.592501,19.815001,19.977501,19.924387,9846400
2019-04-18,20.097500,21.408800,20.043800,21.350000,21.293238,11004000
2019-04-22,21.238800,21.267500,20.763800,20.900000,20.844435,3480000
2019-04-23,21.001200,21.430000,21.000000,21.375000,21.318171,4169600
2019-04-24,21.333700,21.622499,21.062500,21.557501,21.500185,6500000
2019-04-25,21.377501,21.875000,21.257500,21.875000,21.816843,6195200
2019-04-26,22.000000,22.493700,21.917500,22.368700,22.309229,9252800
2019-04-29,22.375000,22.500000,22.160000,22.313700,22.254375,4112000
2019-04-30,22.950001,23.907499,22.875000,23.907499,23.843939,17158400
2019-05-02,23.596300,24.068800,23.487499,23.842501,23.779112,10839200
2019-05-03,23.875000,24.875000,23.875000,24.531200,24.465979,9619200
2019-05-06,24.375000,25.120001,24.253700,25.026300,24.959764,12308000
2019-05-07,25.187500,25.288700,23.910000,24.018700,23.954842,13714400
2019-05-08,24.012501,24.437500,24.012501,24.187500,24.123192,7266400
2019-05-09,24.107500,24.107500,23.237499,23.237499,23.175718,8647200
2019-05-10,23.378700,23.590000,22.632500,23.312500,23.250519,7074400
2019-05-13,23.062500,23.156200,22.500000,22.502501,22.442673,7481600
2019-05-14,22.876200,23.125000,22.250000,22.281200,22.221962,8171200
2019-05-15,22.030001,22.030001,21.462500,21.625000,21.567507,11907200
2019-05-16,21.525000,21.602501,20.846300,20.875000,20.819500,14228000
2019-05-17,20.633801,21.602501,20.633801,21.102501,21.046396,8486400
2019-05-20,21.247499,21.900000,21.151300,21.625000,21.567507,8236000
2019-05-21,21.985001,22.711300,21.951300,22.426300,22.366676,9324800
2019-05-22,22.625000,23.023800,22.250000,22.531200,22.471298,8910400
2019-05-23,22.212500,22.786200,21.889999,22.556200,22.496231,8334400
2019-05-24,22.811300,22.940001,22.000000,22.106300,22.047525,6477600
2019-05-27,22.625000,22.750000,22.250000,22.250000,22.190844,3925600
2019-05-28,22.537500,23.625000,22.516300,23.625000,23.562189,16532000
2019-05-29,23.787500,24.424999,23.388800,23.658800,23.595898,11330400
2019-05-30,23.750000,24.299999,23.702499,24.111200,24.047096,7245600
2019-05-31,24.000000,24.500000,23.956200,24.500000,24.434864,6778400
2019-06-03,24.625000,24.850000,24.188700,24.342501,24.277782,6673600
2019-06-04,24.750000,24.873800,24.000000,24.315001,24.250355,6555200
2019-06-05,24.500000,24.650000,23.503700,23.898800,23.835260,10168800
2019-06-06,24.250000,24.250000,23.512501,23.751200,23.688053,5515200
2019-06-07,23.846300,24.806200,23.816200,24.806200,24.740248,7880000
2019-06-10,24.816200,25.549999,24.562500,25.312500,25.245203,9398400
2019-06-11,25.500000,26.187500,25.456200,25.898800,25.829945,9048800
2019-06-12,25.750000,25.767500,25.125000,25.389999,25.322496,10652800
2019-06-13,25.750000,26.278700,25.686300,26.201300,26.131639,10310400
2019-06-14,26.123800,26.875000,25.674999,26.446301,26.375988,11859200
2019-06-17,26.512501,26.998800,25.852501,25.937500,25.868540,11027200
2019-06-18,26.325001,26.573700,25.878700,26.012501,25.943342,8856000
2019-06-19,25.875000,26.375000,25.636200,26.250000,26.180210,20810400
2019-06-21,26.375000,26.747499,26.358700,26.581200,26.510530,9934400
2019-06-24,26.520000,26.737499,26.077499,26.247499,26.177717,6773600
2019-06-25,26.125000,26.373800,25.812500,25.813700,25.745070,8350400
2019-06-26,26.000000,26.257500,25.875000,26.056200,25.986925,5710400
2019-06-27,26.036200,26.186300,25.683800,26.081200,26.011858,5954400
2019-06-28,26.174999,26.389999,25.923700,26.389999,26.319838,8115200
2019-07-01,26.500000,26.700001,26.146200,26.275000,26.205143,5714400
